Month,US Total
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,831.3
2009-02-01,813.7
2009-03-01,854.0
2009-04-01,832.8
2009-05-01,861.0
2009-06-01,908.1
2009-07-01,926.2
2009-08-01,957.8
2009-09-01,945.2
2009-10-01,958.5
2009-11-01,995.0
2009-12-01,998.6
2010-01-01,1014.0
2010-02-01,1047.0
2010-03-01,1047.0
2010-04-01,1065.0
2010-05-01,1089.0
2010-06-01,1052.0
2010-07-01,1114.0
2010-08-01,1095.0
2010-09-01,1102.0
2010-10-01,1103.0
2010-11-01,1179.0
2010-12-01,1167.0
2011-01-01,1166.0
2011-02-01,1129.0
2011-03-01,1169.0
2011-04-01,1155.0
2011-05-01,1141.0
2011-06-01,1157.0
2011-07-01,1137.0
2011-08-01,1190.0
2011-09-01,1146.0
2011-10-01,1171.0
2011-11-01,1218.0
2011-12-01,1241.0
2012-01-01,1221.0
2012-02-01,1196.0
2012-03-01,1131.0
2012-04-01,1133.0
2012-05-01,1182.0
2012-06-01,1167.0
2012-07-01,1100.0
2012-08-01,1129.0
2012-09-01,1121.0
2012-10-01,1085.0
2012-11-01,1103.0
2012-12-01,1098.0
2013-01-01,1066.0
2013-02-01,1074.0
2013-03-01,1109.0
2013-04-01,1156.0
2013-05-01,1192.0
2013-06-01,1184.0
2013-07-01,1212.0
2013-08-01,1207.0
2013-09-01,1164.0
2013-10-01,1194.0
2013-11-01,1250.0
2013-12-01,1249.0
2014-01-01,52.42
2014-02-01,39.64
2014-03-01,54.9
2014-04-01,62.83
2014-05-01,61.26
2014-06-01,80.47
2014-07-01,63.45
2014-08-01,58.58
2014-09-01,41.53
2014-10-01,65.29
2014-11-01,50.5
2014-12-01,66.84
2015-01-01,55.03
2015-02-01,34.43
2015-03-01,29.23
2015-04-01,44.93
2015-05-01,85.26
2015-06-01,66.87
2015-07-01,74.03
2015-08-01,55.71
2015-09-01,64.63
2015-10-01,66.26
2015-11-01,79.7
2015-12-01,45.81
2016-01-01,66.06
2016-02-01,60.66
2016-03-01,59.77
2016-04-01,77.17
2016-05-01,82.45
2016-06-01,51.07
2016-07-01,71.32
2018-01-01,212.4
2019-07-01,85.19
2020-08-01,1179.0
2023-08-01,1325.0
